                           stepid  dayscons_ade dayscons_weeks_ade
ptsdc                   0.0228224834  0.0294042139     0.0293817477
ptsdpast                0.0489826558  0.0112021644     0.0112546381
ptsdp                   0.0450039967  0.0121980086     0.0122427259
alcdepc                -0.0037850007  0.0334196010     0.0335033190
alcdepp                -0.0093582704  0.0304291211     0.0305039549
alcabusc               -0.0097940749  0.0166135592     0.0166822921
alcabusp               -0.0009254382  0.0196725298     0.0196683478
drugdepc                0.0002600917  0.0334561594     0.0334671321
drugdepp                0.0062471595  0.0205573671     0.0205639055
drugabc                 0.0036289229  0.0292799133     0.0292895768
drugabp                 0.0098215223  0.0140979677     0.0140792759
psychp                  0.0068475706  0.0935735571     0.0935266124
bpsychp                 0.0290387933  0.0819912997     0.0819771323
ipsychp                 0.0079301474  0.1157434081     0.1157365184
psychc                  0.0239012333  0.0784619499     0.0784397758
bpsychc                 0.0267470285  0.0808317498     0.0808298105
ipsychc                 0.0213100712  0.0691008955     0.0691056745
schizc                  0.0284740272  0.0807555841     0.0807500457
schizp                  0.0301851131  0.0807075975     0.0806957352
schaffc                 0.0244956720  0.0810143970     0.0810394711
schaffp                 0.0220159175  0.0765693931     0.0766086944
schphrc                 0.0262613829  0.0808317498     0.0808298105
schphrp                 0.0262613829  0.0808317498     0.0808298105
deldisc                 0.0257757373  0.0808317498     0.0808298105
deldisp                 0.0254758613  0.0796499869     0.0796454939
psygenc                 0.0261697328  0.0814258619     0.0814252056
psygenp                 0.0246956370  0.0792415836     0.0792344736
psysubc                 0.0253830832  0.0802397972     0.0802365791
psysubp                 0.0341571843  0.0818806157     0.0818517828
psynosc                 0.0261887758  0.0827475808     0.0827404644
psynosp                 0.0236537206  0.0790881803     0.0790437411
moodnosp                0.0250634649  0.0799127761     0.0799030741
deppsyc                 0.0267164217  0.0820303391     0.0820121923
deppsyp                 0.0294304815  0.0787434162     0.0787442085
bulpurgc                0.0266477664  0.0771332951     0.0771793229
bulpurgp                0.0502801734  0.0595773598     0.0596269217
bulnonpc                0.0246350104  0.0718022809     0.0718157963
bulnonpp                0.0310483742  0.0770677616     0.0770802147
anbingec                0.0250785843  0.0768810335     0.0768814755
