              depresd       lessint     moodelev      curdepr     curenjoy
curenjoy  0.010241480  0.0330707141  0.009388123  0.006763754 -0.024310133
curmania  0.013636890  0.0263250285  0.004514305  0.013636635 -0.024244993
abnirrit  0.004573891  0.0295547620  0.016158586  0.016914261  0.063204859
curirrit  0.042665855  0.0285311459  0.008152613  0.023517828 -0.022876088
abnanx    0.004631792  0.0409979898  0.007373733  0.019337697  0.069257418
deprmd    0.012036206  0.0079568364  0.003575985 -0.008501142 -0.416282137
depsleep  0.019868988  0.0386782444  0.065806563  0.054038692  0.005490712
depinter  0.050390535  0.1023561401  0.080076141  0.053147300 -0.033720352
depguilt  0.097455073  0.1493950293  0.076666939  0.062374235  0.000412369
depse     0.059305756  0.3049566705  0.072906222  0.031520962 -0.022864505
depenerg  0.046644556  0.0558153813  0.044577951  0.093388960 -0.026641416
depconcn  0.104258460  0.1152272996  0.071598260  0.102310641 -0.022960697
depdist   0.092661092  0.3807962307  0.054519857  0.084186920 -0.005956802
depappet  0.079661683  0.0826626392  0.098211785  0.103794374 -0.013694907
deppmr    0.198418052  0.1942078215  0.100276921  0.147328447 -0.004745930
deppma    0.084691161  0.4375409156  0.081964300  0.088593674 -0.014547182
elvselfe  0.170266745  0.1394450982  0.206061080  0.031313563 -0.049956469
elvsleep  0.137401318  0.1949693879  0.227417217  0.057582158  0.003964655
elvtalk   0.195660267  0.1663147105  0.228175043  0.072307545 -0.010690166
elvfoi    0.160997798  0.1362793022  0.245238443  0.088804598  0.004339800
elvdistr  0.162964696  0.1824265128  0.191700614  0.083764566  0.005586802
elvgdact  1.000000000  0.1691695664  0.218050678  0.047657013 -0.023078236
elvpma    0.169169566  1.0000000000  0.157764029  0.069038028 -0.005321753
elvhrb    0.218050678  0.1577640293  1.000000000  0.107066998 -0.007213201
depsi     0.047657013  0.0690380277  0.107066998  1.000000000  0.059149921
silnwl   -0.023078236 -0.0053217529 -0.007213201  0.059149921  1.000000000
sipassiv -0.023093610 -0.0054488016 -0.006160764  0.059123349  0.997107132
siactive -0.023226679 -0.0055474463 -0.006259279  0.058805943  0.997654484
depslmin  0.013845311  0.0573556075  0.011663644  0.014281748 -0.012761637
depslmax  0.011248662  0.0600260560  0.013502565  0.016282432 -0.039102969
smspi     0.039131776  0.0607531131  0.021100763  0.037156583  0.001025627
smshallu  0.044307425  0.0677644414  0.035094987  0.032408107  0.004372463
smsior    0.041894553  0.0538541184  0.026296084  0.035881586  0.004150585
smsdelus  0.051112965  0.0672305399  0.029048522  0.032017317  0.002781162
smsocd    0.053653508  0.0667905484  0.042285850  0.040111848  0.006866973
              sipassiv      siactive      depslmin     depslmax         smspi
depresd   0.1791590725  0.1780203386  0.0344745967  0.037582119  0.0161657112
lessint  -0.3954713615 -0.3954129555  0.0596839385  0.102237911 -0.0049643442
moodelev -0.0108012075 -0.0109206421  0.0139026255  0.015542441  0.0370686219
curdepr  -0.0081614485 -0.0084360427  0.0195047050  0.043553042  0.0194055317
curenjoy -0.0244346932 -0.0247499778  0.0239869514  0.042149136  0.0534587780
curmania -0.0237203571 -0.0245732720  0.0177049736  0.039914929  0.0278100356
