                  tryhsui       deprmd     depsleep  depsleepcat      depinter
hyposubc     0.026780778 -0.01305014 -0.010624495 -0.0186403837  0.081227174
hyposubp     0.026835410 -0.01300064 -0.010599112 -0.0187513209  0.081351677
anxdisc      0.026829179 -0.01275236 -0.010387345 -0.0185132912  0.085045837
anxdisp      0.026729401 -0.01276037 -0.010385908 -0.0185056298  0.085087290
anxsubc      0.026818811 -0.01275236 -0.010381426 -0.0185272186  0.085040516
anxsubp      0.026820831 -0.01274872 -0.010380708 -0.0185268900  0.085052047
pdnoagc      0.026696692 -0.01252770 -0.010490004 -0.0186111236  0.085076679
pdnoagp      0.026695212 -0.01283714 -0.010401368 -0.0185143939  0.085074636
pdagorc      0.026714733 -0.01274392 -0.010681663 -0.0184897546  0.085219625
pdagorp      0.026757137 -0.01268220 -0.010590540 -0.0183650103  0.085091883
agorc        0.026708091 -0.01251921 -0.010433047 -0.0187440941  0.085057892
agorp        0.026663680 -0.01247071 -0.010393552 -0.0186962274  0.085071858
phobiac      0.026064572 -0.01279769 -0.010585186 -0.0186317499  0.090009737
phobiap      0.026238896 -0.01256529 -0.010613203 -0.0184771927  0.090014324
ocdcur       0.027035730 -0.01295378 -0.010370968 -0.0184100713  0.076916668
ocdc         0.026162077 -0.01310463 -0.010197126 -0.0183694271  0.080726993
ocdpast      0.026814945 -0.01288579 -0.010298020 -0.0183060043  0.076853685
ocdp         0.026014529 -0.01291304 -0.010088185 -0.0182739089  0.081265573
ocdgenc      0.026483063 -0.01283964 -0.010262748 -0.0183539749  0.080962453
ocdgenp      0.026557336 -0.01271623 -0.010225666 -0.0183568305  0.081556623
ocdsubc      0.026483063 -0.01284440 -0.010260443 -0.0183523327  0.080963820
ocdsubp      0.026559982 -0.01271565 -0.010225255 -0.0183552700  0.081530813
ptsdcur      0.027437386 -0.01297027 -0.010449988 -0.0181768243  0.076775117
ptsdc        0.025903128 -0.01264339 -0.010371923 -0.0183154694  0.078935155
ptsdpast     0.027716200 -0.01296233 -0.010299182 -0.0181027900  0.076603297
ptsdp        0.026305433 -0.01260510 -0.010414419 -0.0182464217  0.078990050
alcdepc      0.026200142 -0.01241104 -0.010404557 -0.0182841357  0.080244094
alcdepp      0.025434711 -0.01258362 -0.010457119 -0.0182785565  0.080252393
alcabusc     0.026426532 -0.01222178 -0.010415945 -0.0184973562  0.077454312
alcabusp     0.026364411 -0.01233215 -0.010279884 -0.0183026087  0.077499501
drugdepc     0.025259885 -0.01231319 -0.010352544 -0.0183281893  0.079289602
drugdepp     0.024955336 -0.01242805 -0.010488113 -0.0182976582  0.078492182
drugabc      0.025290838 -0.01246680 -0.010478200 -0.0183064259  0.075927618
drugabp      0.025969421 -0.01220578 -0.010324712 -0.0180275624  0.076900974
psychp       0.025038252 -0.01241611 -0.011436379 -0.0190409705  0.080698023
bpsychp      0.025216297 -0.01244717 -0.011561642 -0.0189066162  0.080750443
ipsychp      0.024637269 -0.01250306 -0.011790807 -0.0191291823  0.077889013
psychc       0.025295169 -0.01250945 -0.011538943 -0.0189059200  0.080902593
bpsychc      0.025212804 -0.01244872 -0.011567703 -0.0189100303  0.080742711
ipsychc      0.024894881 -0.01267461 -0.011946426 -0.0189649077  0.080820103
schizc       0.025281043 -0.01251086 -0.011535447 -0.0189172310  0.080983227
schizp       0.025284494 -0.01250840 -0.011533887 -0.0189181179  0.080992615
schaffc      0.025215051 -0.01244894 -0.011562929 -0.0189083126  0.080703108
schaffp      0.025217939 -0.01244063 -0.011561668 -0.0189036720  0.080693162
schphrc      0.025210872 -0.01244778 -0.011569980 -0.0189100303  0.080714624
schphrp      0.025210872 -0.01244778 -0.011569980 -0.0189100303  0.080714624
deldisc      0.025211148 -0.01244590 -0.011571118 -0.0189100303  0.080745142
deldisp      0.025213446 -0.01244395 -0.011567803 -0.0189091341  0.080756434
psygenc      0.025210275 -0.01244829 -0.011570499 -0.0189102757  0.080743816
psygenp      0.025212156 -0.01244435 -0.011569040 -0.0189074271  0.080765836
psysubc      0.025210917 -0.01244634 -0.011569460 -0.0189093795  0.080718380
psysubp      0.025245913 -0.01243876 -0.011538568 -0.0188750546  0.080750797
psynosc      0.025223691 -0.01244865 -0.011557066 -0.0188949983  0.080742877
psynosp      0.025245599 -0.01243337 -0.011545617 -0.0188747438  0.080786073
moodnosp     0.025288453 -0.01250409 -0.011529428 -0.0189022017  0.080964714
deppsyc      0.025288872 -0.01251361 -0.011530988 -0.0189041561  0.080893406
deppsyp      0.025301376 -0.01251006 -0.011526857 -0.0188874741  0.080900476
bulpurgc     0.026125326 -0.01244002 -0.010514616 -0.0186671151  0.086038653
bulpurgp     0.026130151 -0.01295796 -0.010904874 -0.0187311047  0.085980102
bulnonpc     0.025979543 -0.01244430 -0.010553876 -0.0186827401  0.086066924
bulnonpp     0.026000333 -0.01243918 -0.010551146 -0.0186564170  0.086062984
anbingec     0.026214204 -0.01251819 -0.010637524 -0.0186983452  0.086494618
anbingep     0.026117496 -0.01243296 -0.010759359 -0.0186694030  0.085995981
anrestrc     0.026213647 -0.01250397 -0.010650728 -0.0186975273  0.086530306
anrestrp     0.026151028 -0.01242883 -0.010509041 -0.0186470780  0.085900185
